jahr,stichtag,gemeinde_bfs_nr,gemeinde,altersklasse,heimat,geschlecht,anzahl,anzahl_ist_kleingruppe
2023,2023-12-31,230,Winterthur,00-04,Ausland,männlich,770,False
2023,2023-12-31,230,Winterthur,00-04,Ausland,weiblich,767,False
2023,2023-12-31,230,Winterthur,00-04,Schweiz,männlich,2352,False
2023,2023-12-31,230,Winterthur,00-04,Schweiz,weiblich,2126,False
2023,2023-12-31,230,Winterthur,05-09,Ausland,männlich,976,False
2023,2023-12-31,230,Winterthur,05-09,Ausland,weiblich,868,False
2023,2023-12-31,230,Winterthur,05-09,Schweiz,männlich,2266,False
2023,2023-12-31,230,Winterthur,05-09,Schweiz,weiblich,2189,False
2023,2023-12-31,230,Winterthur,10-14,Ausland,männlich,792,False
2023,2023-12-31,230,Winterthur,10-14,Ausland,weiblich,773,False
2023,2023-12-31,230,Winterthur,10-14,Schweiz,männlich,2312,False
2023,2023-12-31,230,Winterthur,10-14,Schweiz,weiblich,2189,False
2023,2023-12-31,230,Winterthur,15-19,Ausland,männlich,729,False
2023,2023-12-31,230,Winterthur,15-19,Ausland,weiblich,580,False
2023,2023-12-31,230,Winterthur,15-19,Schweiz,männlich,2333,False
2023,2023-12-31,230,Winterthur,15-19,Schweiz,weiblich,2177,False
2023,2023-12-31,230,Winterthur,20-24,Ausland,männlich,907,False
2023,2023-12-31,230,Winterthur,20-24,Ausland,weiblich,750,False
2023,2023-12-31,230,Winterthur,20-24,Schweiz,männlich,2640,False
2023,2023-12-31,230,Winterthur,20-24,Schweiz,weiblich,2926,False
2023,2023-12-31,230,Winterthur,25-29,Ausland,männlich,1461,False
2023,2023-12-31,230,Winterthur,25-29,Ausland,weiblich,1317,False
2023,2023-12-31,230,Winterthur,25-29,Schweiz,männlich,3611,False
2023,2023-12-31,230,Winterthur,25-29,Schweiz,weiblich,3854,False
2023,2023-12-31,230,Winterthur,30-34,Ausland,männlich,1876,False
2023,2023-12-31,230,Winterthur,30-34,Ausland,weiblich,1727,False
2023,2023-12-31,230,Winterthur,30-34,Schweiz,männlich,3780,False
2023,2023-12-31,230,Winterthur,30-34,Schweiz,weiblich,3575,False
2023,2023-12-31,230,Winterthur,35-39,Ausland,männlich,1889,False
2023,2023-12-31,230,Winterthur,35-39,Ausland,weiblich,1822,False
2023,2023-12-31,230,Winterthur,35-39,Schweiz,männlich,3341,False
2023,2023-12-31,230,Winterthur,35-39,Schweiz,weiblich,3138,False
2023,2023-12-31,230,Winterthur,40-44,Ausland,männlich,1740,False
2023,2023-12-31,230,Winterthur,40-44,Ausland,weiblich,1660,False
2023,2023-12-31,230,Winterthur,40-44,Schweiz,männlich,2936,False
2023,2023-12-31,230,Winterthur,40-44,Schweiz,weiblich,2859,False
2023,2023-12-31,230,Winterthur,45-49,Ausland,männlich,1436,False
2023,2023-12-31,230,Winterthur,45-49,Ausland,weiblich,1224,False
2023,2023-12-31,230,Winterthur,45-49,Schweiz,männlich,2540,False
2023,2023-12-31,230,Winterthur,45-49,Schweiz,weiblich,2647,False
2023,2023-12-31,230,Winterthur,50-54,Ausland,männlich,1160,False
2023,2023-12-31,230,Winterthur,50-54,Ausland,weiblich,1057,False
2023,2023-12-31,230,Winterthur,50-54,Schweiz,männlich,2591,False
2023,2023-12-31,230,Winterthur,50-54,Schweiz,weiblich,2712,False
2023,2023-12-31,230,Winterthur,55-59,Ausland,männlich,1000,False
2023,2023-12-31,230,Winterthur,55-59,Ausland,weiblich,887,False
2023,2023-12-31,230,Winterthur,55-59,Schweiz,männlich,2874,False
2023,2023-12-31,230,Winterthur,55-59,Schweiz,weiblich,2997,False
2023,2023-12-31,230,Winterthur,60-64,Ausland,männlich,755,False
2023,2023-12-31,230,Winterthur,60-64,Ausland,weiblich,625,False
2023,2023-12-31,230,Winterthur,60-64,Schweiz,männlich,2517,False
2023,2023-12-31,230,Winterthur,60-64,Schweiz,weiblich,2840,False
2023,2023-12-31,230,Winterthur,65-69,Ausland,männlich,447,False
2023,2023-12-31,230,Winterthur,65-69,Ausland,weiblich,434,False
2023,2023-12-31,230,Winterthur,65-69,Schweiz,männlich,2067,False
2023,2023-12-31,230,Winterthur,65-69,Schweiz,weiblich,2299,False
2023,2023-12-31,230,Winterthur,70-74,Ausland,männlich,304,False
2023,2023-12-31,230,Winterthur,70-74,Ausland,weiblich,299,False
2023,2023-12-31,230,Winterthur,70-74,Schweiz,männlich,1631,False
2023,2023-12-31,230,Winterthur,70-74,Schweiz,weiblich,2101,False
2023,2023-12-31,230,Winterthur,75-79,Ausland,männlich,262,False
2023,2023-12-31,230,Winterthur,75-79,Ausland,weiblich,261,False
2023,2023-12-31,230,Winterthur,75-79,Schweiz,männlich,1501,False
