jahr,quartal,beschaeftigte,beschaeftigte_sektor_2,beschaeftigte_sektor_3,beschaeftigte_frauen,beschaeftigte_maenner,beschaeftigte_vzae
2018,1,72200,12100,60100,35000,37200,54900
2018,2,73400,12200,61200,35100,38300,56000
2018,3,73000,12300,60700,35300,37700,55700
2018,4,74200,12300,61900,36000,38200,56400
2019,1,73900,12100,61800,35900,38000,56300
2019,2,74600,12300,62300,36000,38600,56900
2019,3,75000,12500,62500,36100,38900,57200
2019,4,75000,12200,62900,35900,39100,57300
2020,1,74600,12100,62500,36200,38400,56900
2020,2,74000,12200,61800,35300,38700,56500
2020,3,74900,12400,62500,35600,39300,57500
2020,4,74500,12200,62300,36000,38500,56900
2021,1,74300,11900,62500,36100,38200,56700
2021,2,75600,12000,63700,36300,39400,58300
2021,3,73600,12000,61600,35600,38000,56600
2021,4,75200,11900,63300,36500,38700,58100
2022,1,73800,11800,62000,36100,37700,56600
2022,2,74100,11900,62200,36000,38100,57000
2022,3,75200,12100,63100,36900,38300,57600
2022,4,74900,12000,62900,36800,38000,57500
2023,1,75500,12000,63600,37000,38600,58100
2023,2,76800,12300,64600,37600,39200,59000
2023,3,77100,12400,64700,37600,39500,59100
2023,4,78600,12300,66400,38600,40000,60300
